threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,3.6834,132,66.67,132,False,Robust plateau | baseline outside
0.975,3.7804,132,66.67,132,False,Robust plateau | baseline outside
0.99,3.8385,99,50.0,88,False,Robust plateau | baseline outside
