Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
AvgDailyRet%,level,1,0.0198,0.7007,0.072,0.1624,378,
CAGR%,level,1,0.0405,0.4319,0.0678,0.1885,378,
Sortino,delta,1,-0.035,0.4978,-0.04,0.4389,377,
Sharpe,level,1,0.0089,0.8648,0.0361,0.4898,369,
Sharpe,delta,1,-0.0067,0.898,-0.035,0.5029,368,
Calmar,level,1,0.0502,0.3688,0.0339,0.5438,322,
AvgDailyRet%,delta,1,-0.0398,0.4415,-0.0328,0.5257,377,
Sortino,level,1,0.0181,0.7256,0.0238,0.6452,378,
Calmar,delta,1,0.0463,0.4083,0.0127,0.8211,321,
CAGR%,delta,1,0.0357,0.4897,-0.0089,0.8634,377,
Sharpe,delta,3,0.0112,0.8313,0.0915,0.0803,366,
AvgDailyRet%,level,3,0.0403,0.4355,0.0893,0.0838,376,
CAGR%,delta,3,0.0281,0.5873,0.0875,0.0905,375,
CAGR%,level,3,0.0341,0.5096,0.0834,0.1066,376,
AvgDailyRet%,delta,3,0.0097,0.851,0.0764,0.1396,375,
Calmar,delta,3,0.0616,0.2727,0.0698,0.2136,319,
Sortino,delta,3,0.0123,0.8129,0.0664,0.1998,375,
Sharpe,level,3,0.0071,0.8926,0.034,0.5165,367,
Calmar,level,3,0.0364,0.5168,0.0199,0.7235,320,
Sortino,level,3,0.044,0.3947,0.0184,0.7216,376,
AvgDailyRet%,level,5,0.0532,0.3048,0.1134,0.0283,374,yes
CAGR%,level,5,0.0293,0.5723,0.1078,0.0372,374,yes
Calmar,delta,5,0.0138,0.806,0.0626,0.2666,317,
Sharpe,level,5,0.0161,0.7587,0.0545,0.2987,365,
Sharpe,delta,5,0.0241,0.6466,0.0541,0.3032,364,
AvgDailyRet%,delta,5,0.0561,0.28,0.0531,0.3067,373,
CAGR%,delta,5,0.0237,0.648,0.0506,0.3298,373,
Sortino,delta,5,0.046,0.3758,0.0448,0.3887,373,
Calmar,level,5,0.0308,0.5842,0.0373,0.507,318,
Sortino,level,5,0.0399,0.4415,0.0125,0.8095,374,
