Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0279,0.5936,-0.1215,0.0197,368,yes
CAGR%,level,1,-0.0143,0.7844,-0.1202,0.0211,368,yes
Sharpe,level,1,-0.1306,0.0121,-0.1199,0.0214,368,yes
AvgDailyRet%,level,1,-0.1209,0.0204,-0.1126,0.0308,368,yes
Sortino,level,1,-0.0134,0.7983,-0.0708,0.1751,368,
CAGR%,delta,1,0.0039,0.9411,-0.0318,0.5435,367,
Sharpe,delta,1,0.0467,0.372,-0.0131,0.8029,367,
AvgDailyRet%,delta,1,0.0087,0.8685,-0.0125,0.8111,367,
Calmar,delta,1,0.0036,0.9456,-0.0082,0.8763,367,
Sortino,delta,1,-0.0169,0.7471,-0.001,0.9841,367,
Calmar,level,3,-0.058,0.2685,-0.1888,0.0003,366,yes
CAGR%,level,3,-0.047,0.3695,-0.1797,0.0006,366,yes
Sharpe,level,3,-0.2508,0.0,-0.1779,0.0006,366,yes
AvgDailyRet%,level,3,-0.2174,0.0,-0.1684,0.0012,366,yes
Sortino,level,3,-0.032,0.5413,-0.1299,0.0129,366,yes
CAGR%,delta,3,0.0295,0.5742,-0.0287,0.5846,365,
Sharpe,delta,3,0.0068,0.8965,-0.0253,0.6294,365,
AvgDailyRet%,delta,3,-0.0079,0.8809,-0.0186,0.723,365,
Sortino,delta,3,0.0174,0.7404,0.0124,0.814,365,
Calmar,delta,3,0.0155,0.7683,0.005,0.9236,365,
Calmar,level,5,-0.0899,0.0867,-0.2597,0.0,364,yes
CAGR%,level,5,-0.0851,0.1051,-0.2444,0.0,364,yes
Sharpe,level,5,-0.3299,0.0,-0.238,0.0,364,yes
AvgDailyRet%,level,5,-0.2858,0.0,-0.2339,0.0,364,yes
Sortino,level,5,-0.0503,0.3385,-0.1857,0.0004,364,yes
Sortino,delta,5,0.0025,0.9622,0.0216,0.6818,363,
Calmar,delta,5,0.0068,0.8974,0.014,0.791,363,
CAGR%,delta,5,0.0144,0.7852,-0.0091,0.8628,363,
Sharpe,delta,5,-0.0137,0.7946,-0.0069,0.8952,363,
AvgDailyRet%,delta,5,0.0004,0.994,-0.0063,0.905,363,
