Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,delta,1,0.053,0.2987,0.0823,0.1061,387,
Calmar,delta,1,0.0386,0.4943,0.0668,0.2365,316,
CAGR%,level,1,-0.0098,0.8468,-0.0647,0.2037,388,
AvgDailyRet%,level,1,-0.0592,0.2447,-0.0603,0.2357,388,
Sharpe,level,1,-0.0532,0.3018,-0.055,0.2861,378,
Sortino,level,1,-0.0721,0.1564,-0.0402,0.4294,388,
CAGR%,delta,1,0.0348,0.4944,0.0253,0.6198,387,
Sharpe,delta,1,0.0973,0.059,0.0214,0.6789,377,
AvgDailyRet%,delta,1,0.0522,0.3055,0.018,0.7241,387,
Calmar,level,1,-0.0103,0.8549,-0.0175,0.7561,317,
Sharpe,level,3,-0.1404,0.0064,-0.1309,0.0111,376,yes
CAGR%,level,3,-0.0463,0.3648,-0.1277,0.012,386,yes
AvgDailyRet%,level,3,-0.1205,0.0179,-0.1226,0.016,386,yes
Sortino,level,3,-0.119,0.0194,-0.118,0.0204,386,yes
Calmar,level,3,-0.0522,0.3547,-0.0441,0.434,317,
Sortino,delta,3,-0.0592,0.2463,0.014,0.7839,385,
Calmar,delta,3,-0.0,1.0,-0.004,0.9429,316,
AvgDailyRet%,delta,3,-0.0194,0.7049,-0.0028,0.9561,385,
CAGR%,delta,3,-0.0001,0.9977,-0.002,0.9695,385,
Sharpe,delta,3,0.027,0.6023,0.0006,0.9905,375,
Sharpe,level,5,-0.1742,0.0007,-0.1783,0.0005,374,yes
CAGR%,level,5,-0.0459,0.3699,-0.1381,0.0067,384,yes
Sortino,level,5,-0.1357,0.0078,-0.1376,0.0069,384,yes
AvgDailyRet%,level,5,-0.1327,0.0092,-0.1341,0.0085,384,yes
Calmar,delta,5,0.0,0.9999,0.0759,0.1786,316,
Calmar,level,5,-0.0526,0.3509,-0.0272,0.6296,317,
Sortino,delta,5,-0.0003,0.9957,0.011,0.8306,383,
AvgDailyRet%,delta,5,0.0091,0.8592,0.0073,0.8866,383,
Sharpe,delta,5,0.0042,0.935,-0.0026,0.9601,373,
CAGR%,delta,5,-0.0,0.9996,0.0009,0.9867,383,
