PORT_SL,PORT_TSL,EARLY_KILL_Y,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
-0.09,0.09,0.001,3.3562,13615.96,-52.246,260.613,0.5475,False
-0.09,0.09,0.0015,3.3562,13615.96,-52.246,260.613,0.5475,False
-0.09,0.09,0.003,3.3562,13615.96,-52.246,260.613,0.5475,False
-0.09,0.095,0.001,3.4033,15083.61,-52.246,288.704,0.5347,False
-0.09,0.095,0.0015,3.4033,15083.61,-52.246,288.704,0.5347,False
-0.09,0.095,0.003,3.4033,15083.61,-52.246,288.704,0.5347,False
-0.09,0.1,0.001,3.378,14433.55,-52.246,276.262,0.5345,False
-0.09,0.1,0.0015,3.378,14433.55,-52.246,276.262,0.5345,False
-0.09,0.1,0.003,3.378,14433.55,-52.246,276.262,0.5345,False
-0.09,0.105,0.001,3.378,14433.55,-52.246,276.262,0.5345,False
-0.09,0.105,0.0015,3.378,14433.55,-52.246,276.262,0.5345,False
-0.09,0.105,0.003,3.378,14433.55,-52.246,276.262,0.5345,False
-0.09,0.11,0.001,3.3735,14325.03,-52.246,274.184,0.5345,False
-0.09,0.11,0.0015,3.3735,14325.03,-52.246,274.184,0.5345,False
-0.09,0.11,0.003,3.3735,14325.03,-52.246,274.184,0.5345,False
-0.09,0.115,0.001,3.3577,13981.38,-52.246,267.607,0.5347,False
-0.09,0.115,0.0015,3.3577,13981.38,-52.246,267.607,0.5347,False
-0.09,0.115,0.003,3.3577,13981.38,-52.246,267.607,0.5347,False
-0.09,0.12,0.001,3.3545,13919.19,-52.246,266.417,0.5347,False
-0.09,0.12,0.0015,3.3545,13919.19,-52.246,266.417,0.5347,False
-0.09,0.12,0.003,3.3545,13919.19,-52.246,266.417,0.5347,False
-0.09,0.125,0.001,3.3545,13919.19,-52.246,266.417,0.5347,False
-0.09,0.125,0.0015,3.3545,13919.19,-52.246,266.417,0.5347,False
-0.09,0.125,0.003,3.3545,13919.19,-52.246,266.417,0.5347,False
-0.09,0.13,0.001,3.3545,13919.19,-52.246,266.417,0.5347,False
