Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0448,0.3912,-0.0632,0.2262,368,
CAGR%,delta,1,0.0171,0.7435,0.053,0.3108,367,
AvgDailyRet%,delta,1,0.0519,0.3218,0.045,0.3895,367,
Calmar,delta,1,0.0171,0.7441,0.0421,0.4209,367,
Sharpe,delta,1,0.029,0.5802,0.0383,0.4642,367,
Sortino,delta,1,0.0739,0.1579,0.0349,0.5045,367,
Sharpe,level,1,-0.0396,0.4485,-0.0297,0.5701,368,
CAGR%,level,1,-0.0456,0.3836,-0.0266,0.611,368,
Sortino,level,1,-0.0356,0.4957,-0.0262,0.6166,368,
AvgDailyRet%,level,1,-0.0288,0.5813,-0.0176,0.7366,368,
Calmar,level,3,-0.0891,0.0889,-0.127,0.015,366,yes
Sharpe,level,3,-0.0707,0.1769,-0.1017,0.0518,366,
Sortino,level,3,-0.0826,0.1145,-0.0977,0.062,366,
CAGR%,level,3,-0.089,0.0893,-0.0949,0.0698,366,
AvgDailyRet%,level,3,-0.0619,0.2377,-0.0811,0.1215,366,
CAGR%,delta,3,0.0223,0.6706,0.0549,0.2958,365,
Calmar,delta,3,0.0238,0.6498,0.0389,0.4592,365,
AvgDailyRet%,delta,3,0.0414,0.4305,0.0227,0.6656,365,
Sortino,delta,3,0.064,0.2228,0.0212,0.6866,365,
Sharpe,delta,3,0.0012,0.9814,0.0171,0.7449,365,
Calmar,level,5,-0.1307,0.0126,-0.1692,0.0012,364,yes
Sharpe,level,5,-0.0887,0.0911,-0.1418,0.0067,364,yes
Sortino,level,5,-0.1141,0.0296,-0.1394,0.0077,364,yes
CAGR%,level,5,-0.1295,0.0134,-0.1365,0.0091,364,yes
AvgDailyRet%,level,5,-0.0839,0.1101,-0.1212,0.0208,364,yes
Sharpe,delta,5,0.0128,0.808,0.0191,0.7166,363,
AvgDailyRet%,delta,5,0.0345,0.5123,0.0173,0.7426,363,
CAGR%,delta,5,0.0071,0.8921,0.0136,0.7965,363,
Sortino,delta,5,0.0382,0.4677,0.0115,0.8269,363,
Calmar,delta,5,0.0077,0.8836,-0.0067,0.8981,363,
