Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0389,0.445,-0.0698,0.17,388,
Sharpe,level,1,-0.0509,0.3201,-0.0661,0.1968,383,
Sortino,delta,1,0.0319,0.5316,0.0658,0.1962,387,
AvgDailyRet%,level,1,-0.0399,0.4327,-0.0598,0.2396,388,
Calmar,level,1,-0.0124,0.8209,-0.0539,0.3252,335,
Sharpe,delta,1,0.1014,0.0477,0.0468,0.362,382,
Calmar,delta,1,0.0455,0.4069,0.0355,0.5178,334,
AvgDailyRet%,delta,1,0.0505,0.3219,0.0319,0.532,387,
Sortino,level,1,-0.0716,0.1593,-0.0254,0.6179,388,
CAGR%,delta,1,0.0448,0.3798,0.0217,0.6699,387,
Sharpe,level,3,-0.1398,0.0063,-0.1421,0.0055,381,yes
CAGR%,level,3,-0.1058,0.0377,-0.127,0.0126,386,yes
AvgDailyRet%,level,3,-0.0938,0.0657,-0.1158,0.0229,386,yes
Calmar,level,3,-0.014,0.7983,-0.1053,0.0542,335,
Sortino,level,3,-0.1137,0.0255,-0.1031,0.0429,386,yes
Sortino,delta,3,-0.0463,0.3652,0.051,0.3179,385,
AvgDailyRet%,delta,3,0.0092,0.8571,0.0296,0.5628,385,
Sharpe,delta,3,0.0396,0.4411,0.0295,0.5662,380,
CAGR%,delta,3,-0.0182,0.7212,0.0201,0.6939,385,
Calmar,delta,3,0.0042,0.9388,0.0086,0.8751,334,
Sharpe,level,5,-0.1791,0.0005,-0.2031,0.0001,379,yes
CAGR%,level,5,-0.0749,0.1429,-0.1488,0.0035,384,yes
AvgDailyRet%,level,5,-0.112,0.0282,-0.1401,0.006,384,yes
Sortino,level,5,-0.1213,0.0174,-0.1299,0.0108,384,yes
Calmar,level,5,-0.01,0.8556,-0.0974,0.075,335,
Calmar,delta,5,0.013,0.8132,0.0265,0.6297,334,
CAGR%,delta,5,-0.0173,0.7355,-0.0048,0.9262,383,
Sortino,delta,5,-0.0099,0.8468,0.0029,0.9557,383,
AvgDailyRet%,delta,5,0.0267,0.6019,0.0024,0.9632,383,
Sharpe,delta,5,0.0121,0.8147,-0.0012,0.9815,378,
