Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0041,0.936,0.1051,0.041,378,yes
AvgDailyRet%,level,1,0.0719,0.1631,0.1041,0.0431,378,yes
Sharpe,level,1,0.0618,0.2308,0.0856,0.0966,378,
Sortino,level,1,-0.0171,0.7398,0.0819,0.1118,378,
Calmar,level,1,-0.0041,0.9383,0.0488,0.3577,358,
AvgDailyRet%,delta,1,-0.0245,0.6354,-0.0258,0.6178,377,
Calmar,delta,1,-0.0008,0.9874,-0.0252,0.6345,357,
Sortino,delta,1,-0.0118,0.8193,-0.0214,0.6783,377,
Sharpe,delta,1,0.0255,0.6216,-0.0135,0.7939,377,
CAGR%,delta,1,-0.0012,0.9814,-0.0039,0.9406,377,
AvgDailyRet%,level,3,0.134,0.0093,0.2125,0.0,376,yes
CAGR%,level,3,-0.005,0.9228,0.2109,0.0,376,yes
Sortino,level,3,-0.0217,0.6744,0.1912,0.0002,376,yes
Sharpe,level,3,0.1083,0.0358,0.1808,0.0004,376,yes
Calmar,level,3,-0.0058,0.9131,0.1569,0.0029,358,yes
Sharpe,delta,3,0.0021,0.968,0.065,0.2091,375,
AvgDailyRet%,delta,3,-0.0033,0.949,0.0614,0.2355,375,
CAGR%,delta,3,-0.0015,0.977,0.0592,0.2532,375,
Sortino,delta,3,-0.0321,0.5355,0.0551,0.2869,375,
Calmar,delta,3,-0.0007,0.9894,0.0123,0.8168,357,
AvgDailyRet%,level,5,0.1635,0.0015,0.2105,0.0,374,yes
CAGR%,level,5,-0.0126,0.8079,0.2091,0.0,374,yes
Sortino,level,5,-0.0034,0.948,0.2054,0.0001,374,yes
Sharpe,level,5,0.1366,0.0081,0.1786,0.0005,374,yes
Calmar,level,5,-0.0155,0.7696,0.1342,0.011,358,yes
AvgDailyRet%,delta,5,0.0701,0.1768,0.0898,0.0832,373,
Sharpe,delta,5,0.0831,0.1091,0.0876,0.0911,373,
CAGR%,delta,5,0.0005,0.9921,0.0775,0.1354,373,
Sortino,delta,5,-0.0247,0.6346,0.0706,0.1735,373,
Calmar,delta,5,0.0013,0.9802,-0.0054,0.9188,357,
