EARLY_FILL_Y,EARLY_KILL_Y,VOL_LEV_MAX_BOOST,Sharpe,CAGR_pct,MaxDD_pct,Calmar,WF_CV,baseline
0.09,0.0015,1.6,3.2137,8611.34,-46.502,185.184,0.5924,False
0.09,0.0015,1.7,3.2473,9780.26,-47.734,204.893,0.5849,False
0.09,0.0015,1.8,3.2791,11121.11,-49.254,225.789,0.5778,False
0.09,0.0015,1.9,3.3013,12327.2,-50.758,242.86,0.5707,False
0.09,0.0015,2.0,3.3215,13669.17,-52.246,261.631,0.5635,False
0.09,0.0015,2.5,3.3215,13669.17,-52.246,261.631,0.5635,False
0.09,0.0015,3.0,3.3215,13669.17,-52.246,261.631,0.5635,False
0.09,0.003,1.2,3.0078,4526.05,-45.144,100.258,0.6824,False
0.09,0.003,1.3,3.0969,5746.75,-45.673,125.822,0.6449,False
0.09,0.003,1.4,3.1443,6679.48,-46.203,144.569,0.615,False
0.09,0.003,1.5,3.1781,7590.45,-46.502,163.23,0.6011,False
0.09,0.003,1.6,3.2137,8611.34,-46.502,185.184,0.5924,False
0.09,0.003,1.7,3.2473,9780.26,-47.734,204.893,0.5849,False
0.09,0.003,1.8,3.2791,11121.11,-49.254,225.789,0.5778,False
0.09,0.003,1.9,3.3013,12327.2,-50.758,242.86,0.5707,False
0.09,0.003,2.0,3.3215,13669.17,-52.246,261.631,0.5635,True
0.09,0.003,2.5,3.3215,13669.17,-52.246,261.631,0.5635,False
0.09,0.003,3.0,3.3215,13669.17,-52.246,261.631,0.5635,False
0.1,0.001,1.2,2.4646,1995.46,-48.232,41.372,0.7805,False
0.1,0.001,1.3,2.471,2169.04,-49.328,43.972,0.7633,False
0.1,0.001,1.4,2.5094,2518.15,-50.412,49.951,0.7357,False
0.1,0.001,1.5,2.5491,2939.26,-51.483,57.092,0.7127,False
0.1,0.001,1.6,2.602,3496.8,-52.541,66.554,0.6934,False
0.1,0.001,1.7,2.6589,4237.48,-53.586,79.078,0.671,False
0.1,0.001,1.8,2.7086,5038.34,-54.618,92.246,0.6478,False
0.1,0.001,1.9,2.7624,6140.29,-55.638,110.362,0.62,False
0.1,0.001,2.0,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.001,2.5,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.001,3.0,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.0015,1.2,2.4646,1995.46,-48.232,41.372,0.7805,False
0.1,0.0015,1.3,2.471,2169.04,-49.328,43.972,0.7633,False
0.1,0.0015,1.4,2.5094,2518.15,-50.412,49.951,0.7357,False
0.1,0.0015,1.5,2.5491,2939.26,-51.483,57.092,0.7127,False
0.1,0.0015,1.6,2.602,3496.8,-52.541,66.554,0.6934,False
0.1,0.0015,1.7,2.6589,4237.48,-53.586,79.078,0.671,False
0.1,0.0015,1.8,2.7086,5038.34,-54.618,92.246,0.6478,False
0.1,0.0015,1.9,2.7624,6140.29,-55.638,110.362,0.62,False
0.1,0.0015,2.0,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.0015,2.5,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.0015,3.0,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.003,1.2,2.4646,1995.46,-48.232,41.372,0.7805,False
0.1,0.003,1.3,2.471,2169.04,-49.328,43.972,0.7633,False
0.1,0.003,1.4,2.5094,2518.15,-50.412,49.951,0.7357,False
0.1,0.003,1.5,2.5491,2939.26,-51.483,57.092,0.7127,False
0.1,0.003,1.6,2.602,3496.8,-52.541,66.554,0.6934,False
0.1,0.003,1.7,2.6589,4237.48,-53.586,79.078,0.671,False
0.1,0.003,1.8,2.7086,5038.34,-54.618,92.246,0.6478,False
0.1,0.003,1.9,2.7624,6140.29,-55.638,110.362,0.62,False
0.1,0.003,2.0,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.003,2.5,2.7804,6743.14,-56.945,118.414,0.5995,False
0.1,0.003,3.0,2.7804,6743.14,-56.945,118.414,0.5995,False
0.11,0.001,1.2,2.4818,2139.48,-56.402,37.933,0.8178,False
0.11,0.001,1.3,2.4852,2306.97,-58.495,39.439,0.8054,False
0.11,0.001,1.4,2.5131,2617.07,-59.526,43.965,0.7866,False
0.11,0.001,1.5,2.5434,2981.23,-60.589,49.204,0.7716,False
0.11,0.001,1.6,2.5806,3416.51,-61.68,55.391,0.7594,False
0.11,0.001,1.7,2.6142,3913.78,-62.797,62.325,0.7486,False
0.11,0.001,1.8,2.6475,4483.69,-63.947,70.116,0.739,False
0.11,0.001,1.9,2.6608,4879.48,-65.125,74.925,0.7301,False
0.11,0.001,2.0,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.001,2.5,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.001,3.0,2.6516,4945.34,-66.647,74.202,0.722,False
0.11,0.0015,1.2,2.4818,2139.48,-56.402,37.933,0.8178,False
0.11,0.0015,1.3,2.4852,2306.97,-58.495,39.439,0.8054,False
0.11,0.0015,1.4,2.5131,2617.07,-59.526,43.965,0.7866,False
0.11,0.0015,1.5,2.5434,2981.23,-60.589,49.204,0.7716,False
0.11,0.0015,1.6,2.5806,3416.51,-61.68,55.391,0.7594,False
