EARLY_KILL_Y,EARLY_INSTILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.001,0.001,1.2192,122.23,-77.541,-27.115,1.576,2.5644,False
0.001,0.0015,1.1512,103.84,-72.911,-27.115,1.424,2.7126,False
0.001,0.002,1.2823,139.45,-71.106,-27.115,1.961,2.2474,False
0.001,0.0025,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.001,0.003,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.0015,0.001,1.1512,103.84,-72.911,-27.115,1.424,2.7126,False
0.0015,0.0015,1.1512,103.84,-72.911,-27.115,1.424,2.7126,False
0.0015,0.002,1.2823,139.45,-71.106,-27.115,1.961,2.2474,False
0.0015,0.0025,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.0015,0.003,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.002,0.001,1.2823,139.45,-71.106,-27.115,1.961,2.2474,False
0.002,0.0015,1.2823,139.45,-71.106,-27.115,1.961,2.2474,False
0.002,0.002,1.2823,139.45,-71.106,-27.115,1.961,2.2474,False
0.002,0.0025,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.002,0.003,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.0025,0.001,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.0025,0.0015,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.0025,0.002,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.0025,0.0025,1.2036,115.11,-65.447,-27.115,1.759,1.5577,False
0.0025,0.003,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.003,0.001,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.003,0.0015,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.003,0.002,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.003,0.0025,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.003,0.003,1.1662,105.85,-58.799,-27.115,1.8,1.2774,True
