period,n,win_rate,avg,avg_win,avg_loss,best,worst,n_wins,n_losses
daily,398,0.110553,0.003885,0.114484,-0.074277,0.48983,-0.27115,44,47
weekly,56,0.357143,0.028244,0.174285,-0.086548,0.82656,-0.384858,20,22
monthly,13,0.615385,0.093512,0.238514,-0.138491,0.824681,-0.282114,8,5
