mode,level,mean_sharpe,std_sharpe,min_sharpe,mean_cagr,mean_maxdd,score,worst_score,n_trials
return_noise,0.001,3.4071,0.0,3.4069,926.28,-10.79,2.9252,2.9251,100
return_noise,0.003,3.4071,0.0001,3.4067,926.29,-10.79,2.9252,2.925,100
return_noise,0.005,3.407,0.0002,3.4064,926.31,-10.79,2.9252,2.9247,100
return_noise,0.01,3.407,0.0004,3.4059,926.29,-10.79,2.9252,2.9243,100
signal_shuffle,0.02,1.1748,0.0703,0.9369,108.87,-58.59,1.0087,0.8044,100
signal_shuffle,0.05,1.1641,0.1738,0.6523,109.56,-57.32,0.9995,0.56,100
signal_shuffle,0.1,1.1918,0.2403,0.6096,120.5,-56.51,1.0232,0.5234,100
signal_shuffle,0.2,1.2065,0.3437,0.4943,134.18,-54.79,1.0359,0.4244,100
ranking_noise,0.02,1.1423,0.1148,0.872,102.49,-58.47,0.9808,0.7487,100
ranking_noise,0.05,1.1702,0.2694,0.4936,117.44,-55.68,1.0047,0.4238,100
ranking_noise,0.1,1.1423,0.3203,0.3269,113.82,-56.2,0.9807,0.2807,100
