EARLY_FILL_Y,EARLY_KILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
0.07,0.0,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.0005,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.0008,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.001,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.0015,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.002,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.0025,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.07,0.003,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
0.08,0.0,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.0005,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.0008,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.001,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.0015,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.002,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.0025,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.08,0.003,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
0.09,0.0,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.0005,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.0008,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.001,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.0015,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.002,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.0025,1.1662,105.85,-58.799,-27.115,1.8,1.2774,False
0.09,0.003,1.1662,105.85,-58.799,-27.115,1.8,1.2774,True
0.1,0.0,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.0005,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.0008,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.001,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.0015,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.002,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.0025,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.1,0.003,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
0.15,0.0,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.0005,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.0008,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.001,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.0015,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.002,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.0025,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.15,0.003,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
0.2,0.0,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.0005,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.0008,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.001,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.0015,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.002,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.0025,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.2,0.003,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
0.25,0.0,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.0005,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.0008,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.001,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.0015,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.002,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.0025,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.25,0.003,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.0,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.0005,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.0008,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.001,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.0015,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.002,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.0025,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.3,0.003,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.0,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.0005,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.0008,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.001,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.0015,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.002,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.0025,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.4,0.003,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.0,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.0005,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.0008,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.001,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.0015,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.002,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.0025,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
0.5,0.003,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
