threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
0.95,1.205,64,80.0,42,False,Robust plateau | baseline outside
0.975,1.2367,6,7.5,6,False,Robust plateau | baseline outside
0.99,1.2557,5,6.25,5,False,Robust plateau | baseline outside
