Top N%,N days,Return sum,% of gross +,Threshold,Flag
1,1,0.4898,9.7,20.0,✓
5,4,1.6095,32.0,45.0,✓
10,9,2.9675,58.9,65.0,✓
20,18,4.0101,79.6,,
25,22,4.3325,86.0,,
