trial,L_HIGH,PORT_SL,PORT_TSL,EARLY_KILL_X,EARLY_KILL_Y,EARLY_FILL_Y,EARLY_FILL_X,Sharpe,CAGR%,MaxDD%,Calmar,WF_CV
0,2.320541,-0.058900,0.996821,37,0.002026,0.124245,870,1.014500,74.970000,-58.741000,1.276000,2.445800
1,2.325868,-0.053306,0.886604,34,0.004024,0.100358,906,1.542900,232.150000,-63.971000,3.629000,1.546100
2,2.175102,-0.055090,0.914738,31,0.003786,0.099480,869,1.325700,152.110000,-63.600000,2.392000,1.758700
3,2.135991,-0.068473,1.006143,38,0.002267,0.087604,457,1.148500,104.720000,-55.157000,1.899000,1.862400
4,2.047887,-0.063295,0.966086,40,0.002582,0.080673,702,1.500100,180.230000,-56.369000,3.197000,1.579600
5,2.063367,-0.053339,0.893440,32,0.003408,0.085475,912,1.093500,88.110000,-60.850000,1.448000,2.277100
6,2.288117,-0.056623,0.989710,38,0.002730,0.074760,825,0.921500,54.690000,-59.877000,0.913000,1.302600
7,2.041491,-0.054598,0.766988,38,0.003396,0.104772,882,1.426200,170.860000,-53.149000,3.215000,1.216600
8,2.181923,-0.061237,0.802745,31,0.003404,0.087919,758,1.052200,80.760000,-64.909000,1.244000,2.323800
9,2.316599,-0.062425,0.914466,36,0.002529,0.056219,684,0.964900,61.440000,-58.264000,1.055000,1.337700
10,2.074417,-0.058354,0.995419,32,0.001940,0.074260,601,0.818800,37.660000,-63.330000,0.595000,2.098400
11,2.271243,-0.061027,0.976653,37,0.002775,0.112609,528,1.073700,88.280000,-60.827000,1.451000,1.965500
12,1.989993,-0.052621,0.960037,35,0.002187,0.090075,520,1.170100,106.560000,-52.019000,2.048000,1.865700
13,2.286381,-0.059031,0.867876,33,0.003313,0.080051,482,0.750100,23.860000,-67.257000,0.355000,6.745500
14,2.031923,-0.068314,1.010317,37,0.002438,0.123781,881,1.060900,83.060000,-50.395000,1.648000,2.300500
15,2.295432,-0.059089,0.838505,31,0.003966,0.086816,549,1.005200,74.440000,-67.132000,1.109000,3.343800
16,2.114621,-0.061426,0.812729,39,0.003620,0.105801,681,1.382300,155.370000,-55.623000,2.793000,1.453800
17,2.256016,-0.061514,0.940459,31,0.002798,0.056996,717,0.653400,13.480000,-66.231000,0.204000,2.679200
18,2.125139,-0.053601,0.792919,36,0.002209,0.120609,767,1.193500,116.920000,-52.424000,2.230000,1.966200
19,2.132623,-0.061636,0.771157,40,0.002958,0.110357,480,1.381500,164.770000,-55.319000,2.979000,2.565800
20,2.194130,-0.059833,1.018213,36,0.002936,0.073222,623,0.990700,67.170000,-58.600000,1.146000,1.141600
21,2.209096,-0.058900,0.770835,38,0.003951,0.064098,751,1.085400,80.950000,-58.441000,1.385000,1.409700
22,2.027773,-0.063100,0.840933,37,0.003545,0.109343,494,1.247300,120.650000,-52.555000,2.296000,2.322100
23,2.383045,-0.055144,0.775101,36,0.002690,0.113745,898,1.101600,95.810000,-59.778000,1.603000,1.975600
24,2.119541,-0.068152,0.843548,35,0.002414,0.121395,527,1.061500,84.280000,-52.016000,1.620000,2.300300
25,1.999761,-0.058832,1.032941,39,0.003597,0.118137,947,1.158200,99.960000,-54.352000,1.839000,2.482200
26,2.208298,-0.056687,0.973443,37,0.002697,0.060802,862,1.021200,70.930000,-58.317000,1.216000,1.176600
27,2.095483,-0.067863,0.830062,31,0.003795,0.065036,535,1.210700,116.000000,-61.281000,1.893000,1.977300
28,2.243728,-0.066742,0.818037,33,0.003666,0.123972,720,1.019100,77.220000,-63.368000,1.219000,4.129700
29,2.043315,-0.051251,0.827007,31,0.003426,0.062772,724,1.016600,71.050000,-59.788000,1.188000,1.821600
30,2.285475,-0.061460,0.818939,38,0.003517,0.107207,507,1.272100,136.270000,-58.835000,2.316000,2.340200
31,2.034452,-0.067696,0.872346,33,0.002973,0.101726,982,1.146800,102.000000,-60.321000,1.691000,2.109400
32,2.106036,-0.067647,0.771712,36,0.003322,0.061625,513,1.389100,140.990000,-54.142000,2.604000,1.302900
33,2.164410,-0.068392,0.925931,39,0.003730,0.087651,884,1.354100,143.290000,-55.178000,2.597000,1.403800
34,1.987848,-0.052965,0.988946,38,0.002358,0.092215,781,1.233600,116.390000,-51.668000,2.253000,1.211300
35,2.361805,-0.061856,0.876394,34,0.002822,0.100939,932,1.072800,83.980000,-68.096000,1.233000,2.223400
36,2.179715,-0.055461,0.828899,37,0.003760,0.061580,470,1.289400,120.220000,-57.035000,2.108000,1.494700
37,2.241551,-0.053631,0.987659,33,0.002145,0.120310,527,0.623600,6.750000,-64.475000,0.105000,4.014800
38,2.105277,-0.053765,0.796182,30,0.001933,0.066574,463,0.651200,14.150000,-63.094000,0.224000,3.158000
39,2.240103,-0.063253,0.871280,33,0.003011,0.117000,922,0.829600,38.110000,-64.140000,0.594000,2.788300
40,1.999129,-0.054267,0.828921,32,0.003171,0.083971,460,0.627500,13.290000,-60.416000,0.220000,6.256700
41,2.144390,-0.060428,0.792451,38,0.001925,0.120589,489,1.009100,73.670000,-56.239000,1.310000,2.448400
