drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,0.929,52.0,-34.11,86,312,1.777,1.386,77.8,2
0.023,1.4,1.061,67.0,-33.02,89,309,1.17,1.734,77.8,2
0.024,1.4,1.061,67.0,-33.02,89,309,1.17,1.734,77.8,2
0.025,1.4,1.061,67.0,-33.02,89,309,1.17,1.734,77.8,2
0.026,1.4,1.061,67.0,-33.02,89,309,1.17,1.734,77.8,2
0.027,1.4,1.119,74.1,-29.79,91,307,1.169,1.732,77.8,2
0.028,1.4,1.119,74.1,-29.79,91,307,1.169,1.732,77.8,2
0.029,1.4,1.119,74.1,-29.79,91,307,1.169,1.732,77.8,2
0.03,1.4,1.277,96.1,-26.63,92,306,1.169,1.732,77.8,2
0.031,1.4,1.235,90.4,-26.63,93,305,1.169,1.732,77.8,2
0.032,1.4,1.235,90.4,-26.63,93,305,1.169,1.732,77.8,2
0.033,1.4,1.18,83.1,-26.63,94,304,1.169,1.732,77.8,2
0.034,1.4,1.18,83.1,-26.63,94,304,1.169,1.732,77.8,2
0.035,1.4,1.18,83.1,-26.63,94,304,1.169,1.732,77.8,2
0.04,1.4,0.992,60.2,-36.58,95,303,1.689,1.44,77.8,2
