shock_pct,n_shocks,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_maxdd_pct,survived
0,0,1.1514,107.35,-58.799,0.0,0.0,True
-10.0,1,1.0734,88.25,-62.919,-0.078,-4.12,False
-10.0,3,1.0396,80.72,-64.534,-0.1118,-5.735,False
-10.0,5,0.8853,48.96,-71.273,-0.266,-12.473,False
-20.0,1,0.9901,68.98,-67.039,-0.1613,-8.24,False
-20.0,3,0.795,30.7,-75.091,-0.3564,-16.292,False
-20.0,5,0.4943,-13.2,-84.058,-0.657,-25.259,False
-30.0,1,0.9031,49.5,-71.159,-0.2482,-12.36,False
-30.0,3,0.5546,-9.48,-83.313,-0.5968,-24.514,False
-30.0,5,0.1322,-52.94,-91.823,-1.0192,-33.024,False
-40.0,1,0.8143,29.79,-75.28,-0.337,-16.48,False
-40.0,3,0.3287,-40.77,-89.492,-0.8227,-30.692,False
-40.0,5,-0.1843,-76.79,-96.217,-1.3357,-37.418,False
