window_days,min_cum_ret,start_idx,end_idx
1,-0.271150,264,264
3,-0.271150,262,264
7,-0.428560,273,279
14,-0.693000,263,276
21,-0.724815,256,276
30,-0.773380,247,276
40,-0.708260,240,279
50,-0.660245,230,279
60,-0.542270,220,279
70,-0.373233,69,138
80,-0.219013,66,145
90,-0.142123,44,133
100,-0.275223,39,138
