aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.58468,1.16936,0.361,-0.7903,-22.23,-62.51,-0.36,Unusable
143844,0.70123,1.40247,0.2023,-0.9491,-36.13,-67.11,-0.54,Unusable
206913,0.84103,1.68206,0.0117,-1.1397,-49.6,-73.01,-0.68,Unusable
297635,1.00869,2.01739,-0.2169,-1.3682,-62.09,-78.73,-0.79,Unusable
428133,1.20978,2.41956,-0.4906,-1.6419,-73.1,-84.03,-0.87,Unusable
615848,1.45096,2.90191,-0.8174,-1.9688,-82.21,-88.7,-0.93,Unusable
885866,1.74021,3.48042,-1.2062,-2.3575,-89.19,-92.55,-0.96,Unusable
1274274,2.08713,4.17425,-1.6656,-2.817,-94.08,-95.53,-0.98,Unusable
1832980,2.5032,5.00641,-2.2035,-3.3548,-97.14,-97.95,-0.99,Unusable
2636650,3.00223,6.00445,-2.8246,-3.976,-98.82,-99.21,-1.0,Unusable
3792690,3.60073,7.20146,-3.5283,-4.6797,-99.59,-99.75,-1.0,Unusable
5455594,4.31855,8.6371,-4.3049,-5.4562,-99.89,-99.94,-1.0,Unusable
7847599,5.17947,10.35895,-5.133,-6.2843,-99.98,-99.99,-1.0,Unusable
11288378,6.21202,12.42404,-5.9794,-7.1307,-100.0,-100.0,-1.0,Unusable
16237767,7.45041,14.90083,-6.8025,-7.9539,-100.0,-100.0,-1.0,Unusable
23357214,8.93568,17.87136,-7.561,-8.7124,-100.0,-100.0,-1.0,Unusable
33598182,10.71705,21.43409,-8.2227,-9.3741,-100.0,-100.0,-1.0,Unusable
48329302,12.85353,25.70706,-8.771,-9.9224,-100.0,-100.0,-1.0,Unusable
69519279,15.41593,30.83187,-9.2054,-10.3567,-100.0,-100.0,-1.0,Unusable
100000000,18.48916,36.97832,-9.537,-10.6883,-100.0,-100.0,-1.0,Unusable
