L_HIGH,Sharpe,CAGR%,MaxDD%,Flat_days,IS_Sharpe,OOS_Sharpe,Decay%,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable,Fold5_Sharpe,Fold8_Sharpe
0.8,1.153,22.9,-10.87,312,1.153,,,1.31,1.631,77.8,2,-2.829,2.466
0.9,1.17,29.0,-13.6,312,1.17,,,1.31,1.631,77.8,2,-2.829,2.466
1.0,1.183,35.8,-16.59,312,1.183,,,1.31,1.631,77.8,2,-2.829,2.466
1.1,1.192,43.2,-19.8,312,1.192,,,1.31,1.631,77.8,2,-2.829,2.466
1.2,1.202,50.7,-22.98,312,1.202,,,1.302,1.666,77.8,2,-2.952,2.466
1.3,1.199,57.7,-26.23,312,1.199,,,1.296,1.688,77.8,2,-3.027,2.466
1.4,1.174,62.3,-29.61,312,1.174,,,1.295,1.702,77.8,2,-3.09,2.466
1.5,1.159,67.5,-33.09,312,1.159,,,1.297,1.712,77.8,2,-3.144,2.466
1.6,1.154,73.4,-36.67,312,1.154,,,1.292,1.73,77.8,2,-3.191,2.466
1.7,1.156,80.0,-40.31,312,1.156,,,1.289,1.744,77.8,2,-3.231,2.466
1.8,1.159,86.6,-44.0,312,1.159,,,1.286,1.752,77.8,2,-3.266,2.466
1.9,1.172,94.6,-47.71,312,1.172,,,1.284,1.759,77.8,2,-3.296,2.466
2.0,1.183,102.3,-51.43,312,1.183,,,1.281,1.768,77.8,2,-3.322,2.466
2.1,1.177,105.3,-55.13,312,1.177,,,1.278,1.773,77.8,2,-3.345,2.466
2.2,1.166,105.9,-58.8,312,1.166,,,1.277,1.774,77.8,2,-3.366,2.466
2.3,1.163,106.2,-60.67,312,1.163,,,1.28,1.77,77.8,2,-3.366,2.466
2.4,1.161,106.4,-62.48,312,1.161,,,1.281,1.768,77.8,2,-3.366,2.466
2.5,1.163,107.2,-64.24,312,1.163,,,1.28,1.77,77.8,2,-3.366,2.466
2.6,1.166,107.7,-65.93,312,1.166,,,1.278,1.773,77.8,2,-3.366,2.466
2.7,1.167,107.2,-67.57,312,1.167,,,1.277,1.774,77.8,2,-3.366,2.466
2.8,1.167,106.0,-69.16,312,1.167,,,1.277,1.774,77.8,2,-3.366,2.466
2.9,1.167,104.3,-70.69,312,1.167,,,1.277,1.774,77.8,2,-3.366,2.466
3.0,1.167,102.2,-72.17,312,1.167,,,1.277,1.774,77.8,2,-3.366,2.466
