PORT_SL,L_HIGH,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
-0.04,0.8,1.2175,52.61,-21.075,-6.96,2.496,1.2043,False
-0.04,1.0,1.2365,66.32,-25.507,-8.7,2.6,1.143,False
-0.04,1.2,1.2534,80.52,-29.943,-10.44,2.689,1.1213,False
-0.04,1.4,1.2621,93.92,-34.206,-12.18,2.746,1.1137,False
-0.04,1.5,1.2622,99.83,-36.266,-13.05,2.753,1.1137,False
-0.04,1.6,1.2637,105.71,-38.278,-13.92,2.762,1.1137,False
-0.04,1.8,1.2663,116.57,-42.163,-15.66,2.765,1.1137,False
-0.04,2.0,1.2684,126.06,-45.867,-17.4,2.748,1.1137,False
-0.05,0.8,1.2004,51.21,-23.742,-8.68,2.157,1.283,False
-0.05,1.0,1.2216,65.08,-28.699,-10.85,2.268,1.2321,False
-0.05,1.2,1.2267,77.4,-33.61,-13.02,2.303,1.2241,False
-0.05,1.4,1.2189,87.26,-38.294,-15.19,2.279,1.2298,False
-0.05,1.5,1.219,92.48,-40.545,-16.275,2.281,1.2298,False
-0.05,1.6,1.2205,97.65,-42.737,-17.36,2.285,1.2298,False
-0.05,1.8,1.2231,107.05,-46.948,-19.53,2.28,1.2298,False
-0.05,2.0,1.2252,115.0,-50.933,-21.7,2.258,1.2298,False
-0.055,0.8,1.1887,50.46,-24.544,-9.028,2.056,1.293,False
-0.055,1.0,1.2174,64.83,-29.665,-11.285,2.186,1.2492,False
-0.055,1.2,1.2227,77.07,-34.71,-13.542,2.22,1.2401,False
-0.055,1.4,1.2148,86.8,-39.515,-15.799,2.197,1.2437,False
-0.055,1.5,1.2149,91.95,-41.821,-16.928,2.199,1.2437,False
-0.055,1.6,1.2165,97.04,-44.064,-18.056,2.202,1.2437,False
-0.055,1.8,1.2191,106.24,-48.366,-20.313,2.196,1.2437,False
-0.055,2.0,1.2211,113.96,-52.428,-22.57,2.174,1.2437,False
-0.06,0.8,1.1334,47.44,-25.875,-9.86,1.833,1.3264,False
-0.06,1.0,1.1617,60.62,-31.253,-12.325,1.94,1.2829,False
-0.06,1.2,1.1665,71.52,-36.523,-14.79,1.958,1.2737,False
-0.06,1.4,1.1583,79.82,-41.524,-17.255,1.922,1.2774,False
-0.06,1.5,1.1584,84.18,-43.918,-18.488,1.917,1.2774,False
-0.06,1.6,1.1599,88.43,-46.243,-19.72,1.912,1.2774,False
-0.06,1.8,1.1625,95.87,-50.688,-22.185,1.891,1.2774,False
-0.06,2.0,1.1645,101.73,-54.87,-24.65,1.854,1.2774,False
-0.065,0.8,1.1953,50.82,-24.369,-9.12,2.085,1.2835,False
-0.065,1.0,1.224,65.34,-29.455,-11.4,2.218,1.2403,False
-0.065,1.2,1.2294,77.74,-34.471,-13.68,2.255,1.2313,False
-0.065,1.4,1.2215,87.64,-39.25,-15.96,2.233,1.2349,False
-0.065,1.5,1.2216,92.89,-41.544,-17.1,2.236,1.2349,False
-0.065,1.6,1.2232,98.07,-43.776,-18.24,2.24,1.2349,False
-0.065,1.8,1.2258,107.48,-48.058,-20.52,2.237,1.2349,False
-0.065,2.0,1.2278,115.44,-52.104,-22.8,2.215,1.2349,False
-0.07,0.8,1.1953,50.82,-24.369,-9.12,2.085,1.2835,False
-0.07,1.0,1.224,65.34,-29.455,-11.4,2.218,1.2403,False
-0.07,1.2,1.2294,77.74,-34.471,-13.68,2.255,1.2313,False
-0.07,1.4,1.2215,87.64,-39.25,-15.96,2.233,1.2349,False
-0.07,1.5,1.2216,92.89,-41.544,-17.1,2.236,1.2349,False
-0.07,1.6,1.2232,98.07,-43.776,-18.24,2.24,1.2349,False
-0.07,1.8,1.2258,107.48,-48.058,-20.52,2.237,1.2349,False
-0.07,2.0,1.2278,115.44,-52.104,-22.8,2.215,1.2349,False
-0.075,0.8,1.1953,50.82,-24.369,-9.12,2.085,1.2835,False
-0.075,1.0,1.224,65.34,-29.455,-11.4,2.218,1.2403,False
-0.075,1.2,1.2294,77.74,-34.471,-13.68,2.255,1.2313,False
-0.075,1.4,1.2215,87.64,-39.25,-15.96,2.233,1.2349,False
-0.075,1.5,1.2216,92.89,-41.544,-17.1,2.236,1.2349,False
-0.075,1.6,1.2232,98.07,-43.776,-18.24,2.24,1.2349,False
-0.075,1.8,1.2258,107.48,-48.058,-20.52,2.237,1.2349,False
-0.075,2.0,1.2278,115.44,-52.104,-22.8,2.215,1.2349,False
-0.08,0.8,1.1953,50.82,-24.369,-9.12,2.085,1.2835,False
-0.08,1.0,1.224,65.34,-29.455,-11.4,2.218,1.2403,False
-0.08,1.2,1.2294,77.74,-34.471,-13.68,2.255,1.2313,False
-0.08,1.4,1.2215,87.64,-39.25,-15.96,2.233,1.2349,False
-0.08,1.5,1.2216,92.89,-41.544,-17.1,2.236,1.2349,False
-0.08,1.6,1.2232,98.07,-43.776,-18.24,2.24,1.2349,False
-0.08,1.8,1.2258,107.48,-48.058,-20.52,2.237,1.2349,False
-0.08,2.0,1.2278,115.44,-52.104,-22.8,2.215,1.2349,False
-0.085,0.8,1.1953,50.82,-24.369,-9.12,2.085,1.2835,False
-0.085,1.0,1.224,65.34,-29.455,-11.4,2.218,1.2403,False
-0.085,1.2,1.2294,77.74,-34.471,-13.68,2.255,1.2313,False
-0.085,1.4,1.2215,87.64,-39.25,-15.96,2.233,1.2349,False
-0.085,1.5,1.2216,92.89,-41.544,-17.1,2.236,1.2349,False
-0.085,1.6,1.2232,98.07,-43.776,-18.24,2.24,1.2349,False
-0.085,1.8,1.2258,107.48,-48.058,-20.52,2.237,1.2349,False
-0.085,2.0,1.2278,115.44,-52.104,-22.8,2.215,1.2349,False
-0.1,0.8,1.1953,50.82,-24.369,-9.12,2.085,1.2835,False
-0.1,1.0,1.224,65.34,-29.455,-11.4,2.218,1.2403,False
-0.1,1.2,1.2294,77.74,-34.471,-13.68,2.255,1.2313,False
