EARLY_FILL_X,EARLY_FILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
360,0.07,0.8652,47.43,-58.917,-27.115,0.805,2.3857,False
360,0.08,0.9184,56.32,-58.799,-27.115,0.958,2.2552,False
360,0.09,0.9397,60.16,-58.799,-27.115,1.023,2.1885,False
360,0.1,0.9066,54.22,-58.712,-27.115,0.924,2.4467,False
360,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
360,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
360,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
360,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
360,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
360,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
540,0.07,1.093,88.25,-58.712,-27.115,1.503,1.1674,False
540,0.08,1.1214,95.04,-58.799,-27.115,1.616,1.3261,False
540,0.09,1.0989,93.48,-58.799,-27.115,1.59,1.8888,False
540,0.1,1.0571,84.01,-58.712,-27.115,1.431,1.9993,False
540,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
540,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
540,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
540,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
540,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
540,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
600,0.07,0.9479,59.3,-58.712,-27.115,1.01,1.1674,False
600,0.08,1.1214,95.04,-58.799,-27.115,1.616,1.3261,False
600,0.09,1.1712,107.19,-58.799,-27.115,1.823,1.2774,False
600,0.1,1.0571,84.01,-58.712,-27.115,1.431,1.9993,False
600,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
600,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
600,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
600,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
600,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
600,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
660,0.07,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
660,0.08,1.1214,95.04,-58.799,-27.115,1.616,1.3261,False
660,0.09,1.1712,107.19,-58.799,-27.115,1.823,1.2774,False
660,0.1,1.1522,102.96,-58.712,-27.115,1.754,1.3321,False
660,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
660,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
660,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
660,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
660,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
660,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
720,0.07,0.9023,51.63,-58.712,-27.115,0.879,1.0797,False
720,0.08,1.0034,70.01,-58.766,-27.115,1.191,1.3014,False
720,0.09,1.1662,105.85,-58.799,-27.115,1.8,1.2774,True
720,0.1,1.2784,137.49,-58.712,-27.115,2.342,1.2155,False
720,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
720,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
720,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
720,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
720,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
720,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
900,0.07,0.9019,51.55,-58.712,-27.115,0.878,1.0812,False
900,0.08,0.9987,69.0,-58.766,-27.115,1.174,1.3188,False
900,0.09,1.1357,98.55,-58.788,-27.115,1.676,1.2699,False
900,0.1,1.2659,134.03,-58.712,-27.115,2.283,1.2152,False
900,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
900,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
900,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
900,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
900,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
900,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
1080,0.07,0.8655,45.67,-58.712,-27.115,0.778,1.0878,False
1080,0.08,1.0099,71.25,-58.766,-27.115,1.212,1.3168,False
1080,0.09,1.1357,98.55,-58.788,-27.115,1.676,1.2699,False
1080,0.1,1.2659,134.03,-58.712,-27.115,2.283,1.2152,False
1080,0.15,1.0109,74.29,-55.902,-26.873,1.329,2.3858,False
1080,0.175,1.081,89.69,-54.118,-26.873,1.657,2.3385,False
1080,0.2,1.1285,101.69,-53.189,-26.873,1.912,2.309,False
1080,0.225,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
1080,0.25,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
1080,0.3,1.01,74.11,-55.927,-26.873,1.325,2.3864,False
