Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,-0.0528,0.3321,0.0825,0.129,340,
CAGR%,delta,1,-0.0062,0.9041,0.0722,0.1616,377,
AvgDailyRet%,delta,1,0.0498,0.3351,0.0514,0.3196,377,
Sortino,level,1,-0.0588,0.2545,-0.0479,0.3531,378,
Sharpe,delta,1,0.0617,0.2359,0.0451,0.386,371,
CAGR%,level,1,-0.0774,0.133,-0.0444,0.3898,378,
AvgDailyRet%,level,1,-0.0604,0.2414,-0.0419,0.4161,378,
Sharpe,level,1,-0.0376,0.4693,-0.0395,0.4479,372,
Calmar,level,1,-0.0303,0.5766,-0.0258,0.6352,341,
Sortino,delta,1,0.0246,0.6334,0.0234,0.6509,377,
Sortino,level,3,-0.1009,0.0507,-0.0888,0.0854,376,
AvgDailyRet%,level,3,-0.1227,0.0173,-0.0802,0.1207,376,
CAGR%,level,3,-0.1155,0.0251,-0.0795,0.1238,376,
Calmar,delta,3,-0.0707,0.1946,0.0593,0.2771,338,
Sharpe,level,3,-0.0967,0.063,-0.0549,0.2922,370,
Sortino,delta,3,-0.0032,0.9513,0.0548,0.2898,375,
Calmar,level,3,-0.0908,0.095,-0.0505,0.3537,339,
Sharpe,delta,3,0.0538,0.3023,0.0439,0.3999,369,
AvgDailyRet%,delta,3,0.0006,0.9913,0.0421,0.4162,375,
CAGR%,delta,3,-0.0762,0.1407,0.0334,0.5191,375,
Sortino,level,5,-0.1277,0.0135,-0.1367,0.0081,374,yes
CAGR%,level,5,-0.0979,0.0587,-0.1027,0.0471,374,yes
AvgDailyRet%,level,5,-0.1497,0.0037,-0.1009,0.0512,374,
Calmar,delta,5,-0.0611,0.2643,0.0859,0.1161,336,
Sharpe,level,5,-0.1371,0.0084,-0.0713,0.1723,368,
Calmar,level,5,-0.1135,0.0372,-0.0707,0.1954,337,
Sharpe,delta,5,0.0597,0.2538,0.038,0.4677,367,
AvgDailyRet%,delta,5,0.022,0.6722,0.0298,0.5668,373,
CAGR%,delta,5,-0.0323,0.5337,0.0225,0.6643,373,
Sortino,delta,5,-0.0173,0.7385,0.0078,0.8801,373,
