Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0626,0.2308,-0.1297,0.0128,368,yes
AvgDailyRet%,level,1,-0.1216,0.0196,-0.1267,0.015,368,yes
Calmar,level,1,-0.0727,0.1641,-0.1226,0.0186,368,yes
Sharpe,level,1,-0.1406,0.0069,-0.1139,0.0289,368,yes
Sortino,level,1,0.0104,0.8421,-0.0538,0.3034,368,
CAGR%,delta,1,0.0011,0.9831,-0.0094,0.8574,367,
Calmar,delta,1,-0.0038,0.9416,0.0062,0.9052,367,
Sharpe,delta,1,0.0737,0.1586,0.0046,0.9301,367,
Sortino,delta,1,0.0057,0.9133,0.003,0.9549,367,
AvgDailyRet%,delta,1,0.0523,0.3177,-0.0011,0.9839,367,
CAGR%,level,3,-0.087,0.0966,-0.1872,0.0003,366,yes
AvgDailyRet%,level,3,-0.2353,0.0,-0.1872,0.0003,366,yes
Calmar,level,3,-0.0997,0.0568,-0.1728,0.0009,366,yes
Sharpe,level,3,-0.2861,0.0,-0.1603,0.0021,366,yes
Sortino,level,3,-0.0225,0.6673,-0.0775,0.1388,366,
AvgDailyRet%,delta,3,0.0381,0.4677,0.0177,0.7359,365,
Sharpe,delta,3,0.0581,0.2681,0.0152,0.7723,365,
Calmar,delta,3,-0.0421,0.4221,0.0127,0.8089,365,
CAGR%,delta,3,-0.0323,0.5389,0.009,0.8638,365,
Sortino,delta,3,0.0427,0.4157,0.0061,0.9078,365,
AvgDailyRet%,level,5,-0.31,0.0,-0.2465,0.0,364,yes
CAGR%,level,5,-0.0937,0.0741,-0.2407,0.0,364,yes
Calmar,level,5,-0.1018,0.0524,-0.2231,0.0,364,yes
Sharpe,level,5,-0.3803,0.0,-0.2024,0.0001,364,yes
Sortino,level,5,-0.0817,0.1197,-0.1312,0.0122,364,yes
AvgDailyRet%,delta,5,0.0222,0.6728,0.0292,0.5796,363,
CAGR%,delta,5,-0.0184,0.7263,0.0144,0.7845,363,
Sharpe,delta,5,0.0085,0.872,0.0139,0.7918,363,
Sortino,delta,5,0.0777,0.1396,-0.0046,0.93,363,
Calmar,delta,5,-0.0276,0.5999,-0.0004,0.9941,363,
