Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,0.047,0.4295,-0.1454,0.014,285,yes
Sortino,delta,1,-0.019,0.7166,-0.1339,0.0102,367,yes
Sharpe,delta,1,-0.0584,0.3001,-0.1296,0.021,317,yes
AvgDailyRet%,delta,1,0.0027,0.9592,-0.1291,0.0133,367,yes
CAGR%,delta,1,-0.0053,0.9191,-0.1092,0.0365,367,yes
Calmar,level,1,-0.0677,0.2535,-0.0708,0.2323,286,
CAGR%,level,1,-0.0143,0.7853,-0.0668,0.2012,368,
Sharpe,level,1,-0.0899,0.1097,-0.0654,0.2452,318,
AvgDailyRet%,level,1,-0.0656,0.2095,-0.0647,0.2159,368,
Sortino,level,1,-0.036,0.4912,-0.0332,0.5253,368,
Calmar,delta,3,-0.056,0.3476,-0.1215,0.0411,283,yes
CAGR%,delta,3,-0.0364,0.4879,-0.0844,0.1076,365,
Sharpe,delta,3,-0.0595,0.2927,-0.0723,0.2006,315,
AvgDailyRet%,delta,3,-0.0238,0.6505,-0.0699,0.1827,365,
Calmar,level,3,-0.1465,0.0135,-0.0642,0.2807,284,
CAGR%,level,3,-0.03,0.5676,-0.0626,0.2325,366,
AvgDailyRet%,level,3,-0.1171,0.0251,-0.0613,0.2421,366,
Sortino,delta,3,-0.0004,0.9942,-0.0543,0.3006,365,
Sharpe,level,3,-0.1307,0.0201,-0.0409,0.4691,316,
Sortino,level,3,-0.0546,0.2976,-0.0119,0.8205,366,
Calmar,delta,5,-0.0538,0.3686,-0.1095,0.0669,281,
CAGR%,delta,5,-0.0017,0.9735,-0.0849,0.1063,363,
AvgDailyRet%,delta,5,0.0024,0.9638,-0.0787,0.1347,363,
Sharpe,delta,5,-0.0324,0.5682,-0.0718,0.205,313,
AvgDailyRet%,level,5,-0.1368,0.0089,-0.0669,0.2027,364,
CAGR%,level,5,-0.0118,0.8228,-0.0642,0.2217,364,
Sortino,delta,5,-0.0004,0.994,-0.061,0.2466,363,
Calmar,level,5,-0.1018,0.0878,-0.0348,0.5601,282,
Sharpe,level,5,-0.1371,0.0151,-0.0121,0.8309,314,
Sortino,level,5,-0.0665,0.2055,0.005,0.9245,364,
