Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,level,1,-0.0879,0.0968,-0.0502,0.3438,358,
Sortino,level,1,-0.0866,0.097,-0.0436,0.4038,368,
CAGR%,level,1,-0.0872,0.0948,-0.0351,0.5018,368,
Calmar,delta,1,-0.0273,0.6065,0.0324,0.5414,357,
Sortino,delta,1,0.0668,0.202,0.0309,0.5557,367,
CAGR%,delta,1,-0.0586,0.2627,0.0284,0.5876,367,
AvgDailyRet%,level,1,-0.0494,0.3448,-0.028,0.593,368,
Sharpe,level,1,-0.0272,0.6044,-0.0271,0.6058,365,
Sharpe,delta,1,0.042,0.4248,0.0236,0.6542,364,
AvgDailyRet%,delta,1,-0.0057,0.9135,0.0149,0.7761,367,
Sortino,level,3,-0.2173,0.0,-0.0807,0.1233,366,
Calmar,level,3,-0.1304,0.0138,-0.0762,0.1515,356,
Calmar,delta,3,-0.0583,0.2733,0.0657,0.2169,355,
CAGR%,level,3,-0.0905,0.0837,-0.0624,0.2334,366,
CAGR%,delta,3,-0.0455,0.3861,0.05,0.3405,365,
Sortino,delta,3,-0.0696,0.1847,0.0496,0.3447,365,
AvgDailyRet%,level,3,-0.0832,0.1122,-0.0494,0.3461,366,
Sharpe,level,3,-0.0739,0.16,-0.0468,0.3739,363,
Sharpe,delta,3,0.0269,0.6093,0.0243,0.6448,362,
AvgDailyRet%,delta,3,-0.0347,0.5088,0.0151,0.7734,365,
Sortino,level,5,-0.1589,0.0024,-0.1013,0.0535,364,
Calmar,level,5,-0.1123,0.0347,-0.0937,0.0783,354,
CAGR%,level,5,-0.0897,0.0874,-0.0843,0.1082,364,
AvgDailyRet%,level,5,-0.0877,0.0949,-0.0689,0.1895,364,
Sharpe,level,5,-0.0891,0.091,-0.0655,0.2144,361,
Sortino,delta,5,-0.0199,0.7058,0.0298,0.5712,363,
Calmar,delta,5,-0.0684,0.2001,0.0233,0.663,353,
Sharpe,delta,5,-0.0278,0.5993,0.0199,0.7069,360,
CAGR%,delta,5,-0.0381,0.4692,0.015,0.7761,363,
AvgDailyRet%,delta,5,-0.0468,0.3736,0.0019,0.9717,363,
