Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
CAGR%,level,1,-0.0263,0.6061,-0.0721,0.1566,388,
AvgDailyRet%,level,1,-0.084,0.0983,-0.0689,0.1757,388,
Calmar,level,1,-0.009,0.8704,-0.0626,0.2567,330,
Sharpe,level,1,-0.0548,0.2846,-0.0549,0.2835,383,
Sortino,delta,1,0.0683,0.1798,0.0433,0.3956,387,
Sortino,level,1,-0.0555,0.2755,-0.037,0.4672,388,
Calmar,delta,1,0.0748,0.1761,0.0359,0.5164,329,
CAGR%,delta,1,0.0832,0.1022,0.0268,0.5998,387,
Sharpe,delta,1,0.0189,0.7125,0.025,0.626,382,
AvgDailyRet%,delta,1,0.0145,0.7764,0.0176,0.7293,387,
CAGR%,level,3,-0.1266,0.0128,-0.1268,0.0127,386,yes
AvgDailyRet%,level,3,-0.1473,0.0037,-0.1227,0.0159,386,yes
Sharpe,level,3,-0.1063,0.0381,-0.1117,0.0293,381,yes
Sortino,level,3,-0.1343,0.0082,-0.0941,0.0648,386,
Calmar,level,3,-0.0796,0.1493,-0.0934,0.0901,330,
Calmar,delta,3,-0.0016,0.9763,-0.0176,0.7502,329,
Sortino,delta,3,-0.0019,0.9697,0.014,0.7847,385,
AvgDailyRet%,delta,3,-0.0304,0.552,-0.0129,0.8001,385,
CAGR%,delta,3,-0.0082,0.8728,-0.0119,0.8154,385,
Sharpe,delta,3,-0.009,0.861,-0.0042,0.9355,380,
CAGR%,level,5,-0.0985,0.0538,-0.1458,0.0042,384,yes
AvgDailyRet%,level,5,-0.1598,0.0017,-0.1405,0.0058,384,yes
Sharpe,level,5,-0.1173,0.0224,-0.1395,0.0065,379,yes
Sortino,level,5,-0.1627,0.0014,-0.1109,0.0297,384,yes
Calmar,level,5,-0.0699,0.2054,-0.082,0.1372,330,
CAGR%,delta,5,-0.0133,0.7954,-0.0651,0.204,383,
AvgDailyRet%,delta,5,-0.04,0.435,-0.0584,0.254,383,
Sharpe,delta,5,-0.0218,0.6722,-0.0396,0.4423,378,
Sortino,delta,5,-0.0274,0.5934,-0.034,0.5069,383,
Calmar,delta,5,-0.0005,0.993,-0.012,0.8285,329,
