Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Calmar,delta,1,0.1337,0.0094,0.0564,0.2744,377,
CAGR%,delta,1,0.0658,0.2026,0.0426,0.409,377,
AvgDailyRet%,delta,1,0.0196,0.7046,0.0406,0.432,377,
AvgDailyRet%,level,1,-0.0408,0.4288,-0.03,0.5612,378,
CAGR%,level,1,-0.0782,0.1291,-0.0285,0.5803,378,
Sortino,delta,1,0.0303,0.5576,0.0246,0.6335,377,
Sharpe,delta,1,0.0034,0.9472,0.0228,0.6595,377,
Sharpe,level,1,-0.0288,0.5762,-0.0207,0.6882,378,
Calmar,level,1,0.0493,0.3387,-0.0023,0.9638,378,
Sortino,level,1,0.0287,0.5782,-0.0008,0.9879,378,
Calmar,delta,3,0.0512,0.3225,0.0603,0.2441,375,
CAGR%,level,3,-0.182,0.0004,-0.0452,0.3821,376,
CAGR%,delta,3,-0.0454,0.3802,0.0439,0.3961,375,
AvgDailyRet%,level,3,-0.0742,0.151,-0.0415,0.4223,376,
Sharpe,delta,3,0.0082,0.8741,0.0331,0.5223,375,
AvgDailyRet%,delta,3,-0.0135,0.7943,0.0328,0.5271,375,
Sortino,delta,3,0.0613,0.2366,0.0293,0.5715,375,
Calmar,level,3,-0.0342,0.5085,-0.0207,0.6887,376,
Sharpe,level,3,-0.0546,0.2911,-0.0203,0.6948,376,
Sortino,level,3,0.0047,0.927,-0.0008,0.988,376,
CAGR%,level,5,-0.1349,0.009,-0.0725,0.1615,374,
AvgDailyRet%,level,5,-0.0838,0.1058,-0.0706,0.1733,374,
Calmar,delta,5,0.0287,0.5808,0.057,0.2722,373,
Calmar,level,5,-0.0411,0.4279,-0.0558,0.2816,374,
Sharpe,level,5,-0.07,0.177,-0.0501,0.3342,374,
CAGR%,delta,5,-0.0448,0.3884,0.0478,0.3574,373,
AvgDailyRet%,delta,5,0.0181,0.7275,0.0428,0.4099,373,
Sortino,delta,5,0.0704,0.1749,0.0417,0.4218,373,
Sharpe,delta,5,0.0447,0.3894,0.0407,0.4331,373,
Sortino,level,5,-0.0451,0.3841,-0.0297,0.5666,374,
