Signal,Kind,Fwd Days,Pearson r,Pearson p,Spearman IC,Spearman p,N,Sig*
Sortino,level,1,0.077,0.135,0.0866,0.0928,378,
Sharpe,level,1,0.073,0.1568,0.082,0.1117,378,
CAGR%,level,1,-0.0284,0.5817,0.0791,0.1247,378,
AvgDailyRet%,level,1,0.0624,0.2258,0.0783,0.1288,378,
Calmar,level,1,-0.0337,0.5139,0.058,0.2606,378,
AvgDailyRet%,delta,1,0.0576,0.2645,0.0386,0.4543,377,
Sharpe,delta,1,0.0975,0.0586,0.0378,0.4638,377,
Sortino,delta,1,0.0367,0.4776,0.0302,0.5584,377,
Calmar,delta,1,-0.0201,0.6968,-0.0137,0.7903,377,
CAGR%,delta,1,-0.0066,0.899,0.0117,0.8211,377,
Sortino,level,3,0.1148,0.026,0.0935,0.07,376,
Sharpe,level,3,0.092,0.0749,0.0852,0.0991,376,
CAGR%,level,3,-0.0322,0.5343,0.0849,0.1003,376,
AvgDailyRet%,level,3,0.0869,0.0924,0.0815,0.1144,376,
Sortino,delta,3,0.0499,0.3351,0.0694,0.1799,375,
CAGR%,delta,3,-0.0252,0.6268,0.0631,0.2228,375,
AvgDailyRet%,delta,3,0.0358,0.49,0.061,0.2384,375,
Calmar,delta,3,-0.0314,0.5439,0.0578,0.2642,375,
Calmar,level,3,-0.0245,0.6364,0.0525,0.3104,376,
Sharpe,delta,3,0.0389,0.4531,0.0511,0.3239,375,
Sortino,level,5,0.1352,0.0089,0.089,0.0857,374,
Sortino,delta,5,0.0885,0.0877,0.0839,0.1059,373,
Sharpe,level,5,0.1165,0.0242,0.08,0.1224,374,
CAGR%,level,5,-0.0194,0.708,0.0796,0.1243,374,
AvgDailyRet%,level,5,0.1093,0.0346,0.0752,0.1467,374,
AvgDailyRet%,delta,5,0.0623,0.2297,0.0729,0.1602,373,
Sharpe,delta,5,0.0734,0.1572,0.0725,0.1624,373,
Calmar,delta,5,-0.0037,0.9436,0.0603,0.2454,373,
CAGR%,delta,5,0.0001,0.9979,0.0561,0.2796,373,
Calmar,level,5,-0.0067,0.8969,0.0512,0.3235,374,
